,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
1143,Butte,24.0,23.0,24.0,24.0,137.0
1144,Butte,0.0,0.0,0.0,0.0,3.0
1146,Butte,21.0,19.0,20.0,20.0,33.0
1147,Butte,23.0,21.0,24.0,23.0,23.0
1148,Butte,22.0,22.0,24.0,22.0,15.0
1150,Calaveras,0.0,0.0,0.0,0.0,12.0
1151,Calaveras,25.0,22.0,24.0,23.0,19.0
1152,Colusa,0.0,0.0,0.0,0.0,5.0
1154,Colusa,19.0,17.0,19.0,19.0,16.0
1155,Colusa,0.0,0.0,0.0,0.0,5.0
1156,Contra Costa,24.0,23.0,23.0,23.0,153.0
1157,Contra Costa,29.0,28.0,27.0,27.0,539.0
1158,Contra Costa,22.0,20.0,20.0,20.0,117.0
1159,Contra Costa,0.0,0.0,0.0,0.0,5.0
1160,Contra Costa,0.0,0.0,0.0,0.0,13.0
1161,Contra Costa,24.0,23.0,22.0,23.0,284.0
1162,Contra Costa,25.0,23.0,24.0,23.0,42.0
1163,Contra Costa,25.0,25.0,25.0,24.0,323.0
1164,Contra Costa,19.0,19.0,19.0,19.0,155.0
1165,Contra Costa,19.0,18.0,18.0,18.0,475.0
1166,Contra Costa,28.0,28.0,27.0,27.0,1077.0
1168,Del Norte,0.0,0.0,0.0,0.0,5.0
1169,El Dorado,0.0,0.0,0.0,0.0,2.0
1171,El Dorado,25.0,25.0,25.0,24.0,403.0
1172,El Dorado,23.0,22.0,22.0,22.0,54.0
1173,El Dorado,0.0,0.0,0.0,0.0,6.0
1174,Fresno,0.0,0.0,0.0,0.0,8.0
1175,Fresno,25.0,24.0,24.0,24.0,479.0
1176,Fresno,0.0,0.0,0.0,0.0,5.0
1177,Fresno,0.0,0.0,0.0,0.0,10.0
1178,Fresno,20.0,19.0,19.0,19.0,574.0
1179,Fresno,23.0,21.0,22.0,21.0,41.0
1180,Fresno,19.0,17.0,18.0,18.0,169.0
1181,Fresno,0.0,0.0,0.0,0.0,8.0
1182,Fresno,0.0,0.0,0.0,0.0,1.0
1183,Fresno,18.0,16.0,18.0,18.0,33.0
1185,Fresno,21.0,19.0,20.0,21.0,62.0
1186,Fresno,0.0,0.0,0.0,0.0,12.0
1188,Fresno,0.0,0.0,0.0,0.0,3.0
1189,Fresno,16.0,15.0,16.0,17.0,31.0
1190,Fresno,22.0,21.0,20.0,22.0,37.0
1191,Fresno,22.0,21.0,21.0,23.0,38.0
1192,Fresno,16.0,15.0,17.0,16.0,82.0
1193,Fresno,15.0,14.0,15.0,15.0,19.0
1194,Fresno,0.0,0.0,0.0,0.0,14.0
1195,Fresno,16.0,15.0,18.0,18.0,50.0
1196,Fresno,0.0,0.0,0.0,0.0,8.0
1197,Fresno,16.0,15.0,16.0,16.0,121.0
1200,Glenn,0.0,0.0,0.0,0.0,5.0
1201,Glenn,23.0,21.0,19.0,21.0,37.0
1202,Glenn,18.0,18.0,18.0,19.0,30.0
1204,Humboldt,27.0,26.0,25.0,26.0,49.0
1205,Humboldt,24.0,22.0,23.0,22.0,24.0
1208,Humboldt,0.0,0.0,0.0,0.0,9.0
1209,Humboldt,0.0,0.0,0.0,0.0,2.0
1210,Humboldt,24.0,22.0,23.0,22.0,23.0
1212,Imperial,19.0,18.0,18.0,18.0,115.0
1213,Imperial,20.0,19.0,21.0,20.0,90.0
1214,Imperial,20.0,21.0,19.0,20.0,19.0
1215,Imperial,19.0,18.0,19.0,19.0,172.0
1216,Imperial,20.0,18.0,20.0,19.0,29.0
1217,Imperial,23.0,22.0,21.0,22.0,65.0
1218,Imperial,0.0,0.0,0.0,0.0,6.0
1220,Inyo,0.0,0.0,0.0,0.0,1.0
1221,Inyo,23.0,22.0,22.0,22.0,27.0
1222,Kern,18.0,18.0,18.0,18.0,126.0
1223,Kern,19.0,18.0,20.0,19.0,194.0
1224,Kern,22.0,20.0,21.0,21.0,741.0
1226,Kern,17.0,14.0,16.0,16.0,31.0
1227,Kern,0.0,0.0,0.0,0.0,8.0
1228,Kern,0.0,0.0,0.0,0.0,6.0
1229,Kern,21.0,18.0,19.0,19.0,35.0
1230,Kern,0.0,0.0,0.0,0.0,14.0
1231,Kern,19.0,18.0,20.0,20.0,71.0
1232,Kern,27.0,26.0,27.0,26.0,15.0
1233,Kern,18.0,16.0,19.0,17.0,16.0
1236,Kings,0.0,0.0,0.0,0.0,1.0
1237,Kings,18.0,17.0,18.0,19.0,40.0
1238,Kings,22.0,21.0,20.0,21.0,45.0
1240,Kings,21.0,19.0,19.0,19.0,84.0
1241,Kings,16.0,14.0,15.0,16.0,112.0
1242,Lake,19.0,19.0,19.0,18.0,18.0
1243,Lake,22.0,20.0,18.0,20.0,16.0
1244,Lake,0.0,0.0,0.0,0.0,2.0
1245,Lake,0.0,0.0,0.0,0.0,11.0
1246,Lake,18.0,16.0,17.0,17.0,18.0
1248,Lassen,22.0,21.0,21.0,21.0,27.0
1251,Los Angeles,20.0,19.0,19.0,19.0,245.0
1252,Los Angeles,26.0,26.0,26.0,25.0,216.0
1253,Los Angeles,21.0,20.0,19.0,20.0,339.0
1254,Los Angeles,28.0,29.0,28.0,27.0,192.0
1255,Los Angeles,19.0,19.0,19.0,20.0,49.0
1256,Los Angeles,20.0,19.0,20.0,19.0,222.0
1257,Los Angeles,23.0,22.0,22.0,22.0,21.0
1258,Los Angeles,25.0,24.0,22.0,23.0,31.0
1259,Los Angeles,28.0,29.0,27.0,26.0,91.0
1260,Los Angeles,23.0,22.0,22.0,22.0,157.0
1261,Los Angeles,26.0,25.0,25.0,24.0,176.0
1262,Los Angeles,18.0,17.0,17.0,18.0,186.0
1263,Los Angeles,22.0,21.0,22.0,22.0,38.0
1264,Los Angeles,25.0,24.0,24.0,24.0,139.0
1265,Los Angeles,21.0,20.0,20.0,20.0,72.0
1266,Los Angeles,24.0,24.0,22.0,23.0,148.0
1267,Los Angeles,23.0,22.0,23.0,22.0,135.0
1268,Los Angeles,23.0,23.0,21.0,21.0,59.0
1269,Los Angeles,21.0,20.0,21.0,20.0,302.0
1270,Los Angeles,19.0,18.0,19.0,19.0,218.0
1271,Los Angeles,25.0,25.0,24.0,24.0,109.0
1272,Los Angeles,26.0,26.0,26.0,25.0,221.0
1273,Los Angeles,25.0,23.0,24.0,23.0,79.0
1274,Los Angeles,0.0,0.0,0.0,0.0,10.0
1275,Los Angeles,20.0,20.0,21.0,19.0,112.0
1276,Los Angeles,17.0,16.0,17.0,17.0,227.0
1277,Los Angeles,29.0,29.0,29.0,28.0,138.0
1278,Los Angeles,27.0,27.0,25.0,25.0,322.0
1279,Los Angeles,17.0,17.0,18.0,17.0,96.0
1280,Los Angeles,17.0,16.0,17.0,17.0,232.0
1281,Los Angeles,23.0,22.0,22.0,22.0,582.0
1282,Los Angeles,19.0,18.0,19.0,19.0,9336.0
1283,Los Angeles,18.0,17.0,17.0,17.0,160.0
1284,Los Angeles,21.0,19.0,19.0,19.0,53.0
1285,Los Angeles,19.0,18.0,18.0,19.0,276.0
1286,Los Angeles,19.0,18.0,18.0,19.0,171.0
1287,Los Angeles,21.0,21.0,20.0,21.0,31.0
1288,Los Angeles,27.0,28.0,27.0,26.0,426.0
1289,Los Angeles,21.0,21.0,21.0,22.0,61.0
1290,Los Angeles,22.0,21.0,21.0,21.0,166.0
1291,Los Angeles,19.0,18.0,18.0,19.0,266.0
1292,Los Angeles,28.0,29.0,29.0,27.0,95.0
1293,Los Angeles,27.0,26.0,25.0,25.0,280.0
1294,Los Angeles,28.0,27.0,27.0,27.0,93.0
1295,Los Angeles,27.0,27.0,27.0,26.0,90.0
1296,Los Angeles,25.0,24.0,25.0,24.0,440.0
1297,Los Angeles,24.0,24.0,23.0,23.0,42.0
1298,Los Angeles,20.0,20.0,20.0,20.0,390.0
1299,Los Angeles,26.0,25.0,24.0,24.0,748.0
1300,Los Angeles,16.0,14.0,16.0,15.0,795.0
1301,Los Angeles,22.0,20.0,21.0,22.0,113.0
1302,Los Angeles,22.0,21.0,21.0,21.0,119.0
1303,Los Angeles,28.0,28.0,28.0,27.0,316.0
1304,Los Angeles,27.0,28.0,26.0,26.0,72.0
1305,Los Angeles,0.0,0.0,0.0,0.0,11.0
1306,Los Angeles,28.0,28.0,27.0,27.0,269.0
1307,Los Angeles,24.0,24.0,23.0,24.0,267.0
1308,Los Angeles,27.0,28.0,24.0,25.0,19.0
1309,Los Angeles,0.0,0.0,0.0,0.0,8.0
1310,Los Angeles,25.0,25.0,25.0,24.0,238.0
1311,Los Angeles,20.0,20.0,19.0,20.0,120.0
1312,Los Angeles,0.0,0.0,0.0,0.0,8.0
1313,Los Angeles,15.0,15.0,17.0,16.0,33.0
1315,Madera,21.0,20.0,20.0,21.0,18.0
1316,Madera,18.0,17.0,18.0,18.0,271.0
1317,Madera,23.0,24.0,22.0,22.0,17.0
1318,Madera,22.0,20.0,20.0,20.0,32.0
1319,Madera,22.0,21.0,22.0,22.0,37.0
1321,Marin,25.0,24.0,24.0,23.0,197.0
1322,Marin,24.0,23.0,23.0,23.0,140.0
1323,Marin,29.0,29.0,26.0,26.0,412.0
1324,Marin,0.0,0.0,0.0,0.0,4.0
1325,Mariposa,24.0,22.0,23.0,22.0,16.0
1327,Mendocino,0.0,0.0,0.0,0.0,2.0
1328,Mendocino,25.0,24.0,22.0,23.0,24.0
1329,Mendocino,0.0,0.0,0.0,0.0,8.0
1330,Mendocino,0.0,0.0,0.0,0.0,3.0
1332,Mendocino,25.0,23.0,23.0,23.0,23.0
1333,Mendocino,0.0,0.0,0.0,0.0,7.0
1335,Mendocino,0.0,0.0,0.0,0.0,1.0
1337,Merced,22.0,20.0,20.0,20.0,26.0
1338,Merced,17.0,15.0,17.0,17.0,33.0
1339,Merced,21.0,20.0,19.0,20.0,58.0
1340,Merced,20.0,18.0,19.0,19.0,379.0
1341,Merced,20.0,19.0,17.0,19.0,28.0
1342,Merced,0.0,0.0,0.0,0.0,2.0
1343,Merced,18.0,17.0,17.0,18.0,68.0
1344,Modoc,17.0,15.0,17.0,18.0,40.0
1345,Modoc,18.0,15.0,17.0,18.0,15.0
1347,Mono,0.0,0.0,0.0,0.0,1.0
1348,Mono,26.0,25.0,23.0,24.0,19.0
1349,Monterey,0.0,0.0,0.0,0.0,2.0
1351,Monterey,26.0,26.0,25.0,25.0,121.0
1352,Monterey,18.0,17.0,17.0,17.0,88.0
1353,Monterey,22.0,21.0,22.0,21.0,90.0
1354,Monterey,26.0,27.0,26.0,26.0,31.0
1355,Monterey,19.0,18.0,19.0,19.0,516.0
1356,Monterey,19.0,17.0,18.0,20.0,42.0
1357,Monterey,18.0,16.0,17.0,18.0,69.0
1358,Monterey,17.0,17.0,17.0,17.0,63.0
1360,Napa,0.0,0.0,0.0,0.0,13.0
1361,Napa,22.0,22.0,22.0,22.0,168.0
1362,Napa,25.0,26.0,22.0,23.0,28.0
1363,Nevada,0.0,0.0,0.0,0.0,13.0
1364,Nevada,25.0,24.0,25.0,24.0,63.0
1365,Orange,23.0,22.0,21.0,21.0,35.0
1366,Orange,23.0,22.0,22.0,22.0,458.0
1367,Orange,26.0,26.0,26.0,26.0,121.0
1368,Orange,26.0,26.0,26.0,25.0,1455.0
1369,Orange,26.0,26.0,26.0,25.0,519.0
1370,Orange,22.0,22.0,22.0,21.0,615.0
1371,Orange,25.0,25.0,25.0,24.0,584.0
1372,Orange,26.0,27.0,26.0,26.0,165.0
1373,Orange,26.0,26.0,25.0,25.0,628.0
1374,Orange,25.0,25.0,24.0,24.0,255.0
1375,Orange,24.0,23.0,24.0,23.0,436.0
1376,Orange,20.0,19.0,20.0,19.0,1162.0
1377,Orange,25.0,25.0,25.0,25.0,479.0
1378,Orange,25.0,25.0,25.0,24.0,544.0
1379,Orange,28.0,29.0,29.0,28.0,780.0
1380,Orange,26.0,27.0,26.0,25.0,262.0
1381,Orange,0.0,0.0,0.0,0.0,3.0
1382,Placer,0.0,0.0,0.0,0.0,2.0
1383,Placer,0.0,0.0,0.0,0.0,12.0
1384,Placer,24.0,23.0,24.0,24.0,213.0
1385,Placer,25.0,24.0,24.0,24.0,611.0
1386,Placer,26.0,25.0,25.0,25.0,78.0
1387,Placer,24.0,23.0,21.0,23.0,65.0
1388,Placer,25.0,25.0,24.0,24.0,311.0
1389,Plumas,0.0,0.0,0.0,0.0,9.0
1390,Riverside,0.0,0.0,0.0,0.0,11.0
1391,Riverside,19.0,18.0,19.0,19.0,141.0
1392,Riverside,18.0,17.0,18.0,18.0,51.0
1393,Riverside,22.0,20.0,20.0,21.0,48.0
1394,Riverside,22.0,21.0,21.0,21.0,757.0
1395,Riverside,22.0,21.0,20.0,21.0,226.0
1396,Riverside,21.0,19.0,19.0,20.0,142.0
1397,Riverside,19.0,18.0,18.0,19.0,210.0
1398,Riverside,24.0,24.0,23.0,23.0,18.0
1399,Riverside,20.0,19.0,19.0,19.0,227.0
1400,Riverside,19.0,17.0,20.0,19.0,169.0
1401,Riverside,19.0,18.0,18.0,19.0,232.0
1402,Riverside,0.0,0.0,0.0,0.0,7.0
1403,Riverside,19.0,18.0,18.0,18.0,383.0
1404,Riverside,21.0,20.0,21.0,21.0,583.0
1405,Riverside,19.0,19.0,18.0,18.0,34.0
1406,Riverside,18.0,16.0,18.0,18.0,204.0
1407,Riverside,20.0,19.0,19.0,20.0,169.0
1408,Riverside,23.0,23.0,22.0,23.0,629.0
1409,Riverside,23.0,22.0,22.0,22.0,459.0
1410,Riverside,20.0,19.0,19.0,19.0,41.0
1412,Sacramento,23.0,22.0,23.0,22.0,919.0
1413,Sacramento,27.0,26.0,26.0,26.0,259.0
1414,Sacramento,21.0,20.0,21.0,20.0,58.0
1415,Sacramento,20.0,19.0,19.0,19.0,27.0
1416,Sacramento,0.0,0.0,0.0,0.0,1.0
1417,Sacramento,21.0,20.0,20.0,20.0,468.0
1418,Sacramento,24.0,23.0,23.0,23.0,456.0
1419,Sacramento,0.0,0.0,0.0,0.0,14.0
1420,Sacramento,17.0,16.0,17.0,17.0,772.0
1421,Sacramento,20.0,18.0,19.0,19.0,91.0
1422,San Benito,21.0,20.0,21.0,21.0,118.0
1423,San Benito,0.0,0.0,0.0,0.0,5.0
1424,San Bernardino,0.0,0.0,0.0,0.0,13.0
1425,San Bernardino,0.0,0.0,0.0,0.0,1.0
1426,San Bernardino,18.0,17.0,19.0,19.0,26.0
1427,San Bernardino,0.0,0.0,0.0,0.0,9.0
1428,San Bernardino,21.0,20.0,21.0,21.0,796.0
1429,San Bernardino,25.0,24.0,24.0,24.0,250.0
1430,San Bernardino,19.0,19.0,19.0,20.0,126.0
1431,San Bernardino,16.0,14.0,16.0,16.0,2562.0
1432,San Bernardino,0.0,0.0,0.0,0.0,5.0
1433,San Bernardino,25.0,24.0,25.0,23.0,16.0
1434,San Bernardino,0.0,0.0,0.0,0.0,6.0
1435,San Bernardino,18.0,18.0,17.0,19.0,17.0
1436,San Bernardino,24.0,24.0,24.0,23.0,174.0
1437,San Bernardino,19.0,18.0,19.0,19.0,190.0
1438,San Bernardino,25.0,24.0,22.0,24.0,26.0
1439,San Bernardino,19.0,17.0,18.0,19.0,480.0
1440,San Bernardino,0.0,0.0,0.0,0.0,1.0
1441,San Bernardino,20.0,18.0,19.0,19.0,200.0
1442,San Bernardino,24.0,22.0,22.0,22.0,61.0
1443,San Bernardino,0.0,0.0,0.0,0.0,2.0
1444,San Bernardino,22.0,21.0,23.0,22.0,57.0
1445,San Bernardino,20.0,18.0,19.0,19.0,255.0
1446,San Bernardino,0.0,0.0,0.0,0.0,1.0
1447,San Bernardino,21.0,21.0,21.0,21.0,62.0
1448,San Bernardino,23.0,22.0,20.0,21.0,82.0
1449,San Diego,22.0,21.0,23.0,21.0,22.0
1450,San Diego,0.0,0.0,0.0,0.0,1.0
1451,San Diego,20.0,20.0,18.0,19.0,21.0
1452,San Diego,26.0,25.0,25.0,25.0,128.0
1453,San Diego,21.0,21.0,20.0,20.0,18.0
1454,San Diego,21.0,20.0,21.0,21.0,497.0
1455,San Diego,23.0,22.0,22.0,21.0,42.0
1456,San Diego,22.0,21.0,22.0,22.0,940.0
1457,San Diego,0.0,0.0,0.0,0.0,6.0
1458,San Diego,0.0,0.0,0.0,0.0,1.0
1459,San Diego,28.0,26.0,26.0,27.0,16.0
1460,San Diego,25.0,21.0,21.0,23.0,20.0
1461,San Diego,27.0,26.0,26.0,25.0,941.0
1462,San Diego,23.0,22.0,23.0,23.0,81.0
1463,San Diego,23.0,22.0,22.0,22.0,1944.0
1464,San Diego,28.0,28.0,27.0,27.0,1234.0
1465,San Diego,0.0,0.0,0.0,0.0,3.0
1466,San Diego,21.0,20.0,20.0,21.0,952.0
1467,San Diego,25.0,23.0,24.0,23.0,231.0
1468,San Diego,25.0,25.0,25.0,25.0,258.0
1469,San Diego,21.0,20.0,21.0,20.0,207.0
1470,San Diego,24.0,23.0,22.0,23.0,422.0
1471,San Diego,0.0,0.0,0.0,0.0,1.0
1472,San Diego,22.0,21.0,21.0,22.0,50.0
1473,San Diego,23.0,21.0,19.0,21.0,40.0
1474,San Diego,0.0,0.0,0.0,0.0,5.0
1478,San Francisco,0.0,0.0,0.0,0.0,1.0
1479,San Francisco,22.0,21.0,22.0,21.0,1077.0
1480,San Joaquin,18.0,17.0,17.0,18.0,22.0
1481,San Joaquin,21.0,19.0,21.0,22.0,16.0
1482,San Joaquin,23.0,22.0,23.0,23.0,59.0
1483,San Joaquin,22.0,21.0,20.0,21.0,33.0
1484,San Joaquin,22.0,21.0,22.0,22.0,474.0
1485,San Joaquin,22.0,22.0,22.0,21.0,124.0
1486,San Joaquin,0.0,0.0,0.0,0.0,8.0
1487,San Joaquin,26.0,24.0,23.0,24.0,46.0
1488,San Joaquin,19.0,18.0,19.0,18.0,354.0
1489,San Joaquin,22.0,21.0,21.0,22.0,160.0
1490,San Joaquin,28.0,27.0,26.0,26.0,52.0
1491,San Luis Obispo,0.0,0.0,0.0,0.0,1.0
1492,San Luis Obispo,26.0,25.0,25.0,25.0,35.0
1493,San Luis Obispo,23.0,22.0,22.0,22.0,194.0
1494,San Luis Obispo,26.0,25.0,25.0,24.0,174.0
1495,San Luis Obispo,0.0,0.0,0.0,0.0,2.0
1496,San Luis Obispo,24.0,24.0,22.0,23.0,69.0
1497,San Luis Obispo,23.0,22.0,22.0,22.0,89.0
1498,San Luis Obispo,0.0,0.0,0.0,0.0,6.0
1500,San Mateo,27.0,26.0,25.0,25.0,65.0
1501,San Mateo,0.0,0.0,0.0,0.0,4.0
1502,San Mateo,24.0,23.0,23.0,23.0,132.0
1503,San Mateo,0.0,0.0,0.0,0.0,2.0
1504,San Mateo,16.0,14.0,18.0,15.0,31.0
1505,San Mateo,27.0,26.0,26.0,26.0,529.0
1506,San Mateo,25.0,24.0,24.0,24.0,630.0
1507,San Mateo,23.0,23.0,24.0,23.0,41.0
1509,Santa Barbara,0.0,0.0,0.0,0.0,5.0
1510,Santa Barbara,22.0,19.0,22.0,22.0,39.0
1511,Santa Barbara,24.0,23.0,23.0,23.0,41.0
1512,Santa Barbara,25.0,26.0,25.0,25.0,49.0
1513,Santa Barbara,20.0,19.0,20.0,20.0,243.0
1514,Santa Barbara,26.0,24.0,22.0,22.0,50.0
1515,Santa Barbara,0.0,0.0,0.0,0.0,1.0
1516,Santa Barbara,25.0,25.0,24.0,24.0,395.0
1517,Santa Barbara,0.0,0.0,0.0,0.0,1.0
1521,Santa Clara,22.0,22.0,21.0,22.0,102.0
1522,Santa Clara,27.0,26.0,25.0,26.0,403.0
1523,Santa Clara,22.0,22.0,23.0,22.0,777.0
1524,Santa Clara,30.0,31.0,31.0,29.0,872.0
1525,Santa Clara,23.0,22.0,23.0,22.0,147.0
1526,Santa Clara,30.0,30.0,29.0,29.0,308.0
1527,Santa Clara,24.0,24.0,24.0,23.0,115.0
1528,Santa Clara,28.0,29.0,28.0,28.0,342.0
1529,Santa Clara,29.0,29.0,28.0,28.0,454.0
1530,Santa Clara,25.0,25.0,25.0,25.0,443.0
1531,Santa Clara,25.0,25.0,24.0,24.0,193.0
1532,Santa Clara,26.0,27.0,27.0,26.0,72.0
1533,Santa Cruz,29.0,29.0,27.0,27.0,48.0
1535,Santa Cruz,20.0,18.0,19.0,20.0,257.0
1536,Santa Cruz,26.0,26.0,24.0,25.0,25.0
1537,Santa Cruz,24.0,23.0,23.0,22.0,177.0
1538,Santa Cruz,27.0,26.0,25.0,25.0,60.0
1540,Shasta,24.0,21.0,22.0,23.0,29.0
1541,Shasta,22.0,20.0,22.0,22.0,21.0
1542,Shasta,0.0,0.0,0.0,0.0,3.0
1543,Shasta,27.0,25.0,25.0,25.0,115.0
1544,Shasta,0.0,0.0,0.0,0.0,2.0
1545,Shasta,0.0,0.0,0.0,0.0,3.0
1546,Sierra,0.0,0.0,0.0,0.0,3.0
1547,Siskiyou,0.0,0.0,0.0,0.0,1.0
1549,Siskiyou,21.0,21.0,19.0,19.0,29.0
1550,Siskiyou,23.0,20.0,21.0,21.0,38.0
1552,Siskiyou,20.0,20.0,21.0,21.0,27.0
1554,Solano,27.0,26.0,25.0,25.0,67.0
1555,Solano,21.0,20.0,21.0,20.0,67.0
1556,Solano,24.0,23.0,22.0,23.0,94.0
1557,Solano,25.0,23.0,23.0,24.0,40.0
1558,Solano,23.0,22.0,23.0,22.0,97.0
1559,Solano,20.0,18.0,18.0,19.0,71.0
1561,Sonoma,26.0,25.0,24.0,24.0,55.0
1562,Sonoma,0.0,0.0,0.0,0.0,5.0
1563,Sonoma,0.0,0.0,0.0,0.0,1.0
1565,Sonoma,0.0,0.0,0.0,0.0,1.0
1566,Sonoma,0.0,0.0,0.0,0.0,4.0
1567,Sonoma,0.0,0.0,0.0,0.0,1.0
1568,Sonoma,25.0,24.0,23.0,23.0,134.0
1570,Sonoma,17.0,16.0,18.0,18.0,89.0
1571,Sonoma,25.0,24.0,24.0,24.0,275.0
1572,Sonoma,25.0,24.0,23.0,23.0,47.0
1574,Sonoma,24.0,23.0,22.0,22.0,73.0
1575,Sonoma,23.0,22.0,21.0,22.0,116.0
1576,Sonoma,24.0,25.0,22.0,22.0,36.0
1578,Stanislaus,20.0,18.0,18.0,19.0,34.0
1579,Stanislaus,0.0,0.0,0.0,0.0,3.0
1580,Stanislaus,0.0,0.0,0.0,0.0,6.0
1581,Stanislaus,0.0,0.0,0.0,0.0,2.0
1582,Stanislaus,22.0,21.0,21.0,21.0,511.0
1583,Stanislaus,24.0,22.0,21.0,21.0,15.0
1584,Stanislaus,23.0,22.0,23.0,22.0,18.0
1585,Stanislaus,0.0,0.0,0.0,0.0,12.0
1586,Stanislaus,0.0,0.0,0.0,0.0,2.0
1587,Stanislaus,24.0,24.0,23.0,23.0,38.0
1588,Stanislaus,0.0,0.0,0.0,0.0,7.0
1589,Stanislaus,24.0,22.0,22.0,22.0,105.0
1591,Sutter,0.0,0.0,0.0,0.0,9.0
1592,Sutter,19.0,20.0,20.0,20.0,33.0
1593,Sutter,0.0,0.0,0.0,0.0,6.0
1594,Sutter,0.0,0.0,0.0,0.0,1.0
1596,Sutter,25.0,22.0,24.0,23.0,22.0
1597,Sutter,0.0,0.0,0.0,0.0,9.0
1598,Sutter,23.0,22.0,22.0,23.0,116.0
1600,Tehama,18.0,18.0,18.0,17.0,113.0
1601,Tehama,17.0,15.0,17.0,17.0,38.0
1602,Tehama,20.0,19.0,20.0,20.0,151.0
1605,Trinity,24.0,24.0,23.0,23.0,15.0
1606,Tulare,0.0,0.0,0.0,0.0,14.0
1607,Tulare,0.0,0.0,0.0,0.0,1.0
1608,Tulare,0.0,0.0,0.0,0.0,5.0
1609,Tulare,17.0,15.0,17.0,17.0,85.0
1610,Tulare,0.0,0.0,0.0,0.0,9.0
1612,Tulare,20.0,19.0,20.0,19.0,177.0
1613,Tulare,22.0,21.0,21.0,22.0,187.0
1614,Tulare,18.0,16.0,17.0,17.0,46.0
1615,Tulare,19.0,18.0,19.0,19.0,283.0
1616,Tulare,18.0,16.0,17.0,19.0,96.0
1617,Tulare,18.0,18.0,19.0,18.0,30.0
1618,Tulare,25.0,23.0,20.0,23.0,18.0
1620,Tuolumne,0.0,0.0,0.0,0.0,11.0
1621,Tuolumne,0.0,0.0,0.0,0.0,12.0
1623,Ventura,0.0,0.0,0.0,0.0,2.0
1624,Ventura,24.0,23.0,23.0,23.0,29.0
1625,Ventura,0.0,0.0,0.0,0.0,1.0
1626,Ventura,26.0,26.0,24.0,24.0,15.0
1627,Ventura,22.0,21.0,21.0,21.0,317.0
1628,Ventura,25.0,25.0,24.0,24.0,159.0
1629,Ventura,24.0,22.0,22.0,22.0,213.0
1630,Ventura,27.0,27.0,26.0,26.0,421.0
1631,Ventura,29.0,29.0,27.0,27.0,157.0
1632,Ventura,25.0,24.0,24.0,24.0,112.0
1633,Ventura,20.0,18.0,19.0,20.0,126.0
1635,Yolo,28.0,27.0,28.0,27.0,156.0
1637,Yolo,21.0,19.0,20.0,20.0,54.0
1638,Yolo,0.0,0.0,0.0,0.0,6.0
1639,Yolo,20.0,19.0,19.0,20.0,139.0
1641,Yuba,0.0,0.0,0.0,0.0,4.0
1642,Yuba,20.0,18.0,19.0,19.0,42.0
1643,Yuba,23.0,21.0,21.0,22.0,18.0
1644,Napa,22.0,22.0,22.0,22.0,59.0
1646,Los Angeles,21.0,19.0,20.0,21.0,50.0
1647,San Diego,0.0,0.0,0.0,0.0,1.0
1649,Sacramento,23.0,24.0,22.0,22.0,18.0
1650,Sacramento,15.0,13.0,16.0,15.0,199.0
1651,Sacramento,25.0,23.0,23.0,22.0,17.0
1652,Los Angeles,0.0,0.0,0.0,0.0,6.0
1653,Alameda,0.0,0.0,0.0,0.0,1.0
1654,San Bernardino,0.0,0.0,0.0,0.0,6.0
1655,Nevada,27.0,25.0,25.0,24.0,34.0
1656,Shasta,0.0,0.0,0.0,0.0,1.0
1657,Los Angeles,17.0,16.0,18.0,17.0,68.0
1658,Los Angeles,14.0,11.0,15.0,15.0,25.0
1659,Los Angeles,0.0,0.0,0.0,0.0,3.0
1660,Los Angeles,0.0,0.0,0.0,0.0,3.0
1662,Sacramento,0.0,0.0,0.0,0.0,3.0
1663,Napa,0.0,0.0,0.0,0.0,9.0
1664,Los Angeles,0.0,0.0,0.0,0.0,10.0
1665,Los Angeles,27.0,28.0,24.0,25.0,19.0
1666,Alameda,22.0,22.0,22.0,22.0,31.0
1667,Ventura,27.0,26.0,26.0,25.0,154.0
1668,Orange,25.0,25.0,24.0,24.0,237.0
1669,San Luis Obispo,22.0,21.0,21.0,23.0,23.0
1670,Los Angeles,19.0,17.0,18.0,19.0,68.0
1671,Riverside,23.0,21.0,22.0,22.0,58.0
1672,Ventura,26.0,26.0,24.0,24.0,15.0
1673,Riverside,20.0,18.0,19.0,18.0,63.0
1676,Kern,22.0,20.0,20.0,21.0,16.0
1677,Los Angeles,24.0,23.0,24.0,23.0,73.0
1678,Los Angeles,27.0,27.0,26.0,25.0,52.0
1680,Monterey,19.0,17.0,18.0,20.0,42.0
1682,Monterey,20.0,19.0,19.0,19.0,50.0
1685,Placer,26.0,24.0,25.0,25.0,32.0
1686,Los Angeles,0.0,0.0,0.0,0.0,5.0
1691,Contra Costa,27.0,27.0,26.0,26.0,180.0
1692,Los Angeles,0.0,0.0,0.0,0.0,12.0
1693,Los Angeles,20.0,18.0,20.0,19.0,46.0
1695,Orange,29.0,30.0,29.0,29.0,234.0
1696,Los Angeles,19.0,17.0,17.0,18.0,86.0
1697,Riverside,20.0,18.0,19.0,19.0,15.0
1698,Orange,19.0,17.0,18.0,19.0,42.0
1699,Marin,0.0,0.0,0.0,0.0,2.0
1700,Marin,23.0,23.0,23.0,22.0,88.0
1701,Riverside,19.0,17.0,20.0,19.0,169.0
