,cname,avgscrread,avgscreng,avgscrmath,avgscrsci,numtsttakr
876,Madera,23.0,24.0,22.0,22.0,17.0
877,Kern,23.0,22.0,22.0,22.0,60.0
878,Contra Costa,24.0,22.0,22.0,22.0,82.0
880,Sacramento,23.0,23.0,22.0,22.0,32.0
881,Alameda,20.0,20.0,20.0,20.0,27.0
882,Los Angeles,16.0,14.0,16.0,15.0,36.0
884,San Francisco,22.0,21.0,22.0,21.0,112.0
885,San Diego,18.0,17.0,18.0,18.0,81.0
886,Placer,24.0,23.0,22.0,23.0,57.0
887,San Joaquin,23.0,22.0,23.0,23.0,59.0
888,Los Angeles,16.0,16.0,17.0,17.0,88.0
889,Los Angeles,18.0,18.0,18.0,18.0,37.0
890,Los Angeles,16.0,15.0,16.0,17.0,61.0
891,San Joaquin,22.0,21.0,20.0,21.0,33.0
892,Yuba,22.0,18.0,20.0,20.0,19.0
893,Tulare,0.0,0.0,0.0,0.0,9.0
894,San Diego,23.0,23.0,25.0,24.0,18.0
895,Los Angeles,16.0,15.0,16.0,16.0,25.0
896,Sutter,19.0,20.0,20.0,20.0,33.0
897,Santa Clara,23.0,22.0,22.0,21.0,32.0
898,Alameda,25.0,24.0,24.0,24.0,99.0
899,Merced,20.0,18.0,19.0,20.0,51.0
900,Orange,18.0,18.0,18.0,19.0,53.0
901,San Joaquin,23.0,22.0,23.0,22.0,121.0
902,Santa Barbara,0.0,0.0,0.0,0.0,14.0
903,Inyo,0.0,0.0,0.0,0.0,1.0
905,Orange,26.0,27.0,26.0,25.0,262.0
906,Los Angeles,21.0,21.0,21.0,22.0,30.0
907,Santa Clara,29.0,29.0,28.0,28.0,168.0
908,Orange,18.0,17.0,18.0,18.0,163.0
909,Los Angeles,0.0,0.0,0.0,0.0,11.0
910,Los Angeles,27.0,28.0,28.0,27.0,61.0
911,Los Angeles,22.0,22.0,18.0,20.0,17.0
912,Los Angeles,0.0,0.0,0.0,0.0,2.0
914,Los Angeles,0.0,0.0,0.0,0.0,9.0
915,Merced,21.0,20.0,20.0,20.0,19.0
916,Santa Clara,29.0,29.0,28.0,28.0,187.0
917,Tehama,17.0,15.0,17.0,17.0,38.0
918,San Bernardino,24.0,24.0,25.0,24.0,149.0
919,San Francisco,28.0,28.0,28.0,26.0,244.0
920,Lake,0.0,0.0,0.0,0.0,14.0
921,Sierra,0.0,0.0,0.0,0.0,3.0
922,Alameda,15.0,13.0,16.0,16.0,99.0
924,Santa Clara,17.0,15.0,16.0,15.0,22.0
925,Sacramento,18.0,16.0,17.0,18.0,62.0
926,Santa Clara,32.0,32.0,32.0,31.0,172.0
927,Los Angeles,18.0,17.0,17.0,17.0,92.0
929,Madera,20.0,19.0,19.0,20.0,128.0
930,Madera,17.0,15.0,17.0,17.0,141.0
931,San Diego,20.0,19.0,19.0,20.0,39.0
932,Alameda,0.0,0.0,0.0,0.0,8.0
933,Orange,0.0,0.0,0.0,0.0,9.0
935,Los Angeles,0.0,0.0,0.0,0.0,13.0
936,Los Angeles,0.0,0.0,0.0,0.0,4.0
937,Los Angeles,0.0,0.0,0.0,0.0,4.0
938,Orange,0.0,0.0,0.0,0.0,3.0
940,Contra Costa,20.0,19.0,20.0,19.0,20.0
941,Los Angeles,26.0,26.0,24.0,24.0,36.0
942,Mono,26.0,25.0,23.0,24.0,19.0
943,San Joaquin,0.0,0.0,0.0,0.0,1.0
944,San Joaquin,23.0,23.0,22.0,22.0,16.0
945,Los Angeles,15.0,14.0,16.0,16.0,80.0
946,San Diego,20.0,19.0,19.0,20.0,55.0
947,Los Angeles,18.0,17.0,17.0,17.0,68.0
948,Sonoma,29.0,28.0,27.0,27.0,81.0
950,Monterey,0.0,0.0,0.0,0.0,11.0
951,Orange,27.0,26.0,26.0,25.0,84.0
952,Mariposa,24.0,22.0,23.0,22.0,16.0
953,Los Angeles,27.0,27.0,27.0,26.0,91.0
954,San Francisco,16.0,14.0,18.0,17.0,23.0
955,Los Angeles,24.0,23.0,23.0,23.0,50.0
956,Riverside,24.0,23.0,24.0,24.0,148.0
957,Yuba,0.0,0.0,0.0,0.0,1.0
