,cname,pctbothbenchmark12,numtsttakr12
419,Alameda,0.25,16.0
420,Los Angeles,0.0,40.0
421,Merced,0.1628,43.0
422,Merced,0.1707,82.0
423,Orange,0.0,77.0
424,Calaveras,0.7027,37.0
426,Fresno,0.35,100.0
427,Los Angeles,0.0,1.0
428,Los Angeles,0.0,14.0
429,Monterey,0.1481,54.0
430,San Diego,0.0,14.0
431,San Diego,0.0,1.0
432,San Diego,0.6928,319.0
433,San Diego,0.3897,195.0
434,Los Angeles,0.16390000000000002,61.0
435,Los Angeles,0.6667000000000001,63.0
436,Los Angeles,0.0,7.0
437,Orange,0.7559999999999999,250.0
438,Fresno,0.15789999999999998,57.0
439,Los Angeles,0.41859999999999997,43.0
440,Monterey,0.0,1.0
441,Sacramento,0.2756,283.0
442,San Bernardino,0.11900000000000001,42.0
443,San Bernardino,0.3611,108.0
444,San Luis Obispo,0.5789,19.0
446,Contra Costa,0.8856999999999999,105.0
447,Kings,0.3265,49.0
448,Los Angeles,0.6503,306.0
449,Los Angeles,0.425,200.0
450,Los Angeles,0.5692,130.0
452,San Bernardino,0.5882000000000001,17.0
453,San Diego,0.4894,188.0
454,Alameda,0.0,25.0
456,Kern,0.25,104.0
457,Los Angeles,0.0,1.0
458,Los Angeles,0.0,3.0
460,Los Angeles,0.8123,293.0
461,Los Angeles,0.0,2.0
462,Los Angeles,0.3333,18.0
463,San Joaquin,0.16469999999999999,170.0
465,Solano,0.5661,189.0
466,Contra Costa,0.47369999999999995,38.0
467,Los Angeles,0.0,11.0
468,Los Angeles,0.1714,105.0
469,Los Angeles,0.0,3.0
471,Orange,0.8645999999999999,229.0
472,Riverside,0.0,6.0
473,Stanislaus,0.0,7.0
474,Del Norte,0.4225,71.0
476,Los Angeles,0.713,230.0
477,Santa Barbara,0.0,3.0
479,Los Angeles,0.1705,88.0
480,Merced,0.2605,119.0
481,Orange,0.2921,89.0
482,Riverside,0.16269999999999998,338.0
483,Sacramento,0.0,3.0
484,Sacramento,0.0,5.0
485,El Dorado,0.8515999999999999,256.0
486,Los Angeles,0.0857,35.0
487,Riverside,0.6396999999999999,136.0
488,Sacramento,0.0,12.0
489,Riverside,0.2865,192.0
490,San Bernardino,0.0,8.0
491,Santa Clara,0.2481,133.0
492,Tulare,0.48,75.0
493,Santa Clara,0.6994,163.0
494,Ventura,0.0,3.0
495,San Diego,0.0,1.0
497,Ventura,0.0,10.0
498,Lassen,0.0,3.0
499,Lassen,0.0,2.0
500,Los Angeles,0.0,3.0
501,Santa Clara,0.3143,35.0
502,San Francisco,0.1463,41.0
503,San Francisco,0.0,1.0
504,San Mateo,0.11900000000000001,42.0
505,San Mateo,0.12119999999999999,33.0
506,San Mateo,0.6701,194.0
507,Stanislaus,0.456,193.0
508,Ventura,0.7025,121.0
509,Los Angeles,0.047599999999999996,63.0
510,Los Angeles,0.6794,287.0
511,Mendocino,0.0,1.0
513,Santa Cruz,0.23879999999999998,134.0
514,Sutter,0.5195000000000001,77.0
515,Alameda,0.0,2.0
516,Los Angeles,0.3387,62.0
517,Marin,0.22219999999999998,27.0
518,San Diego,0.4545,33.0
519,Santa Barbara,0.5789,19.0
522,Sutter,0.0,7.0
523,Los Angeles,0.6102000000000001,177.0
524,Los Angeles,0.0,4.0
525,Los Angeles,0.0,5.0
526,Los Angeles,0.0652,46.0
527,Orange,0.8092,152.0
528,Orange,0.10529999999999999,551.0
529,Riverside,0.0,5.0
530,Contra Costa,0.711,218.0
531,Fresno,0.2157,51.0
533,Fresno,0.34380000000000005,320.0
534,Los Angeles,0.0,1.0
535,Los Angeles,0.131,84.0
536,Los Angeles,0.1852,27.0
537,Los Angeles,0.0,6.0
538,Riverside,0.2462,65.0
539,Riverside,0.129,31.0
540,San Bernardino,0.4318,44.0
541,Alameda,0.8906000000000001,64.0
542,Los Angeles,0.2966,381.0
543,Orange,0.0,10.0
544,San Bernardino,0.2974,232.0
545,Los Angeles,0.19149999999999998,47.0
546,Los Angeles,0.0435,23.0
547,Los Angeles,0.3043,23.0
548,Los Angeles,0.08109999999999999,37.0
549,Orange,0.6456999999999999,127.0
550,Sacramento,0.3226,62.0
551,Sacramento,0.8867,150.0
552,San Diego,0.777,139.0
553,Alameda,0.8378,259.0
554,Kern,0.3009,113.0
555,Los Angeles,0.1406,64.0
557,Placer,0.7179000000000001,39.0
558,Sacramento,0.6701999999999999,285.0
559,Los Angeles,0.0395,76.0
563,Placer,0.0,1.0
564,Sacramento,0.0,2.0
565,San Bernardino,0.4658,73.0
566,San Francisco,0.0638,47.0
568,Los Angeles,0.2091,220.0
570,San Bernardino,0.0,8.0
571,Fresno,0.1522,46.0
572,Kings,0.0,3.0
574,Los Angeles,0.21739999999999998,92.0
575,Los Angeles,0.7829,387.0
576,Orange,0.6349,189.0
577,Riverside,0.3125,224.0
578,San Benito,0.47619999999999996,21.0
579,San Diego,0.5549000000000001,328.0
580,Alameda,0.8492000000000001,179.0
582,San Bernardino,0.6376,367.0
583,San Diego,0.7852,149.0
584,Santa Clara,0.929,183.0
585,Contra Costa,0.7870999999999999,155.0
587,Imperial,0.0,1.0
588,Los Angeles,0.5031,161.0
589,Los Angeles,0.09300000000000001,43.0
590,Los Angeles,0.0217,46.0
591,Los Angeles,0.20829999999999999,48.0
592,Riverside,0.0,6.0
593,San Bernardino,0.2826,46.0
595,San Diego,0.0,1.0
596,San Diego,0.3704,27.0
597,Fresno,0.059500000000000004,84.0
599,Los Angeles,0.5186999999999999,268.0
602,San Diego,0.47979999999999995,223.0
603,San Mateo,0.5905,105.0
604,Santa Clara,0.0,1.0
606,Alameda,0.3125,16.0
607,Los Angeles,0.29469999999999996,95.0
608,Los Angeles,0.08109999999999999,37.0
609,Los Angeles,0.4304,158.0
610,Riverside,0.272,125.0
611,Sacramento,0.381,42.0
612,Sutter,0.4571,35.0
613,San Diego,0.0,5.0
614,Siskiyou,0.5366,41.0
616,Alameda,0.1311,61.0
617,Fresno,0.3427,143.0
618,Kern,0.3012,166.0
619,Riverside,0.0,33.0
620,Sacramento,0.6154,52.0
621,San Joaquin,0.2027,74.0
622,Tulare,0.1393,122.0
623,Sonoma,0.09519999999999999,21.0
624,San Joaquin,0.6292,89.0
625,Santa Clara,0.6214,140.0
627,San Diego,0.9167000000000001,156.0
628,Sonoma,0.0,2.0
629,Tuolumne,0.625,24.0
630,Tuolumne,0.0,6.0
631,Ventura,0.0,1.0
632,Sonoma,0.8484999999999999,99.0
634,Sonoma,0.6778,90.0
635,Los Angeles,0.1358,81.0
636,Los Angeles,0.1791,430.0
637,Orange,0.6905,252.0
638,San Bernardino,0.32780000000000004,241.0
640,Ventura,0.2057,491.0
641,Santa Cruz,0.875,48.0
642,Santa Cruz,0.575,40.0
643,Shasta,0.0,6.0
644,Shasta,0.0,3.0
645,Kern,0.6146,192.0
646,Kern,0.1759,216.0
647,Los Angeles,0.6257,179.0
649,Los Angeles,0.28300000000000003,53.0
650,Los Angeles,0.5029,175.0
651,Los Angeles,0.0,9.0
652,Orange,0.7556999999999999,176.0
653,Riverside,0.2138,538.0
654,Riverside,0.0,1.0
655,Humboldt,0.6667000000000001,15.0
656,Los Angeles,0.4861,72.0
657,Los Angeles,0.36840000000000006,19.0
658,Los Angeles,0.11109999999999999,279.0
659,Madera,0.18460000000000001,130.0
660,Orange,0.0,1.0
661,Placer,0.0,12.0
662,Placer,0.6831999999999999,101.0
663,Alameda,0.0,5.0
665,Contra Costa,0.3077,104.0
666,Sacramento,0.7138,283.0
667,San Bernardino,0.2775,227.0
668,San Diego,0.4857,105.0
669,San Francisco,0.2519,131.0
670,Contra Costa,0.823,243.0
671,Los Angeles,0.20620000000000002,97.0
672,Los Angeles,0.09179999999999999,98.0
673,Los Angeles,0.20929999999999999,43.0
676,Fresno,0.25420000000000004,59.0
677,Los Angeles,0.1,60.0
678,Modoc,0.0,4.0
680,Fresno,0.248,379.0
681,Los Angeles,0.0817,208.0
682,Los Angeles,0.1531,294.0
683,Los Angeles,0.09480000000000001,116.0
684,Nevada,0.0,1.0
685,Orange,0.0,2.0
686,San Diego,0.0,1.0
687,San Diego,0.0,4.0
688,San Mateo,0.5263,171.0
689,Alameda,0.6129,186.0
690,Los Angeles,0.18600000000000003,86.0
691,Los Angeles,0.25,24.0
692,Riverside,0.40399999999999997,99.0
693,Sacramento,0.2,15.0
694,San Bernardino,0.0,1.0
695,San Bernardino,0.25429999999999997,173.0
696,San Bernardino,0.2823,124.0
697,San Diego,0.37070000000000003,116.0
698,Santa Barbara,0.6957,69.0
700,Kern,0.0,3.0
701,Los Angeles,0.047599999999999996,21.0
702,Los Angeles,0.6011,188.0
703,Los Angeles,0.3452,84.0
704,Los Angeles,0.08380000000000001,334.0
705,Los Angeles,0.0,5.0
706,San Mateo,0.7848999999999999,172.0
707,Inyo,0.0,23.0
708,Los Angeles,0.15109999999999998,139.0
709,Los Angeles,0.04,25.0
710,Los Angeles,0.22219999999999998,45.0
711,Mendocino,0.2,25.0
712,Riverside,0.0,4.0
713,Santa Barbara,0.6688,157.0
714,Shasta,0.623,61.0
715,Contra Costa,0.0,1.0
716,Fresno,0.2195,41.0
717,Madera,0.0,1.0
718,San Diego,0.0,11.0
719,Los Angeles,0.0,12.0
721,San Diego,0.375,32.0
723,Santa Clara,0.21050000000000002,19.0
724,Colusa,0.0,29.0
726,Los Angeles,0.6847,203.0
727,Los Angeles,0.0,1.0
728,Los Angeles,0.6949,118.0
729,Los Angeles,0.5325,154.0
730,Los Angeles,0.29109999999999997,158.0
731,Napa,0.0,5.0
732,San Bernardino,0.4372,231.0
733,San Diego,0.6585,41.0
734,Tehama,0.6,30.0
735,Los Angeles,0.11630000000000001,43.0
736,Los Angeles,0.10189999999999999,108.0
737,Riverside,0.242,405.0
738,Sacramento,0.15380000000000002,26.0
739,San Joaquin,0.22,50.0
740,Solano,0.6277,94.0
741,Sacramento,0.1081,37.0
742,Sacramento,0.0,3.0
744,Solano,0.0,2.0
745,Tulare,0.12,100.0
746,Butte,0.7308,52.0
748,Monterey,0.2981,161.0
749,Solano,0.5906,127.0
750,Kern,0.7209,86.0
751,Kings,0.0,2.0
752,Los Angeles,0.2216,176.0
754,Los Angeles,0.0,13.0
755,Los Angeles,0.2623,183.0
756,Stanislaus,0.2,190.0
757,Ventura,0.8059999999999999,67.0
758,Ventura,0.609,133.0
759,San Diego,0.48450000000000004,97.0
760,San Diego,0.3761,109.0
762,Stanislaus,0.2703,111.0
763,Santa Cruz,0.0,4.0
764,Yolo,0.0,1.0
765,Yuba,0.5,52.0
767,Shasta,0.0,5.0
768,Madera,0.0,7.0
769,Madera,0.0,6.0
770,Orange,0.7646999999999999,153.0
771,Orange,0.7990999999999999,234.0
772,Alameda,0.2759,29.0
773,Alameda,0.04650000000000001,43.0
775,Marin,0.8976999999999999,176.0
776,Riverside,0.02,50.0
779,San Bernardino,0.0455,44.0
780,San Bernardino,0.55,360.0
781,Alameda,0.11109999999999999,45.0
782,Alameda,0.5397,63.0
783,Alameda,0.0909,22.0
784,Imperial,0.3934,183.0
785,Los Angeles,0.5714,182.0
786,Los Angeles,0.7639,72.0
787,Sacramento,0.42700000000000005,89.0
788,Alameda,0.1429,28.0
789,Los Angeles,0.31670000000000004,60.0
790,Merced,0.24170000000000003,120.0
792,San Bernardino,0.2021,94.0
793,San Joaquin,0.0,13.0
794,Orange,0.0,2.0
